datetime,return,tcost,volatility_20,skewness_20,kurtosis_20
2016-09-13,-0.008589884158594963,4.337077677063415e-05,0.007451366701672769,-0.8723017500058085,3.679706499564028
2016-09-14,0.004551918217767792,4.315367021967425e-05,0.007475739683543207,-1.0318134152045522,3.8484805680342182
2016-09-15,0.014753956031584359,0.0,0.008175979401687737,-0.7049408966183733,2.5786084950504993
2016-09-16,-0.0004568044965580498,4.262756298218554e-05,0.008177023209517716,-0.691821202510262,2.5637794209054743
2016-09-19,-0.004160138132183633,4.281371751511374e-05,0.008230103964806678,-0.614175552224424,2.363450617925328
2016-09-20,0.0017966923815349034,4.273686909699182e-05,0.008238586764977783,-0.6310842292340718,2.35755064202296
2016-09-21,0.009339618710674458,4.2317295078460095e-05,0.008483000853307913,-0.6462782808146813,1.9444771755706842
2016-09-22,0.007569860123453509,0.0,0.00848125477250059,-0.8369410391726629,2.189007897077677
2016-09-23,-0.006115869690132669,4.226006846127247e-05,0.00860848418767009,-0.7483587855715605,1.8290745162238702
2016-09-26,-0.008023236714453041,4.261666311529988e-05,0.00881915296354265,-0.5860921817503032,1.292182560133444
2016-09-27,0.00939451143864467,4.2192312560673034e-05,0.009036551337005795,-0.6289902545651305,1.0445445920212455
2016-09-28,0.0016108606395457414,4.212122488518135e-05,0.008994024397403017,-0.7127616508781605,1.1906333414205381
2016-09-29,-0.006945186842407303,0.0,0.009151850194840617,-0.6108832504208999,0.8511664506817485
2016-09-30,0.007106130280310374,4.212832287142817e-05,0.009252203570239911,-0.6502134828461558,0.7597632600691981
2016-10-03,-0.0013688455830065394,4.217451815615164e-05,0.009250771902728267,-0.5793010167136824,0.7025148581318468
2016-10-04,-0.0014514111309900102,4.223864836321396e-05,0.009181191451932937,-0.48161035750022824,0.7234871940896852
2016-10-05,0.003383354849688658,4.208931352325815e-05,0.009205320663765162,-0.5218809874450289,0.7157206343024649
2016-10-06,-0.00048263612924515087,4.210703608575147e-05,0.00910300088850588,-0.6094124117627578,0.9396024779017806
2016-10-07,-0.002094119143862372,4.220655889927453e-05,0.007106977385730431,0.4459244589434,-0.6076349352124026
